,question,response
0,来个绕口令,遵旨
1,给我倒杯水,遵旨
2,给我倒杯水来,遵旨
3,快给我倒杯水,遵旨
4,给我倒杯水来！,遵旨
5,快给我倒杯水！,遵旨
6,给我倒杯水！,遵旨
7,给我倒杯热水,遵旨
8,给我倒杯热水！,遵旨
9,给我倒杯冷水,遵旨
10,给我倒杯冷水！,遵旨
11,给我倒杯白开水！,遵旨
12,给我倒杯白开水,遵旨
13,给我倒杯凉白开,遵旨
14,给我倒杯凉白开！,遵旨
15,快给我倒杯凉白开！,遵旨
16,快给我倒杯热水！,遵旨
17,快给我倒杯冷水,遵旨
18,快给我倒杯冷水！,遵旨
19,给我倒杯冰水,遵旨
20,快给我倒杯冰水！,遵旨
21,给我倒杯冰水！,遵旨
22,给我倒杯冰水吧,遵旨
23,给我倒杯水吧,遵旨
24,给我倒杯水来吧！,遵旨
25,给我倒杯冰水来,遵旨
26,给我倒杯白开水吧,遵旨
27,给我倒杯白开水吧！,遵旨
28,快给我倒杯白开水吧！,遵旨
29,快给我倒杯热水吧！,遵旨
30,给我倒杯水啊,遵旨
31,给我倒杯水啊！,遵旨
32,给我倒杯凉白开啊,遵旨
33,给我倒杯凉白开啊！,遵旨
34,快给我倒杯热水啊！,遵旨
35,快给我倒杯冷水啊,遵旨
36,快给我倒杯冷水啊！,遵旨
37,快给我倒杯热水啊,遵旨
38,给我倒杯冰水啊！,遵旨
39,快给我倒杯冰水啊！,遵旨
40,给我倒杯温水,遵旨
41,快给我倒杯温水,遵旨
42,给我倒杯温水吧,遵旨
43,给我倒杯温水啊,遵旨
44,快给我倒杯温水吧,遵旨
45,快给我倒杯温水啊,遵旨
46,给我倒杯温水！,遵旨
47,快给我倒杯温水！,遵旨
48,给我倒杯温水吧！,遵旨
49,给我倒杯温水啊！,遵旨
50,快给我倒杯温水吧！,遵旨
51,快给我倒杯温水啊！,遵旨
52,给我倒杯可乐,遵旨
53,给我倒杯可乐吧,遵旨
54,给我倒杯可乐啊,遵旨
55,快给我倒杯可乐,遵旨
56,快给我倒杯可乐啊,遵旨
57,快给我倒杯可乐吧,遵旨
58,快给我倒杯可乐呀,遵旨
59,给我倒杯可乐！,遵旨
60,给我倒杯可乐吧！,遵旨
61,给我倒杯可乐啊！,遵旨
62,快给我倒杯可乐！,遵旨
63,快给我倒杯可乐啊！,遵旨
64,快给我倒杯可乐吧！,遵旨
65,快给我倒杯可乐呀！,遵旨
66,给我倒杯雪碧,遵旨
67,给我倒杯雪碧吧,遵旨
68,给我倒杯雪碧啊,遵旨
69,快给我倒杯雪碧,遵旨
70,快给我倒杯雪碧啊,遵旨
71,快给我倒杯雪碧吧,遵旨
72,快给我倒杯雪碧呀,遵旨
73,给我倒杯雪碧！,遵旨
74,给我倒杯雪碧吧！,遵旨
75,给我倒杯雪碧啊！,遵旨
76,快给我倒杯雪碧！,遵旨
77,快给我倒杯雪碧啊！,遵旨
78,快给我倒杯雪碧吧！,遵旨
79,快给我倒杯雪碧呀！,遵旨
80,给我倒杯橙汁,遵旨
81,给我倒杯橙汁吧,遵旨
82,给我倒杯橙汁啊,遵旨
83,快给我倒杯橙汁,遵旨
84,快给我倒杯橙汁啊,遵旨
85,快给我倒杯橙汁吧,遵旨
86,快给我倒杯橙汁呀,遵旨
87,给我倒杯橙汁！,遵旨
88,给我倒杯橙汁吧！,遵旨
89,给我倒杯橙汁啊！,遵旨
90,快给我倒杯橙汁！,遵旨
91,快给我倒杯橙汁啊！,遵旨
92,快给我倒杯橙汁吧！,遵旨
93,快给我倒杯橙汁呀！,遵旨
94,给我倒杯威士忌,遵旨
95,给我倒杯威士忌吧,遵旨
96,给我倒杯威士忌啊,遵旨
97,快给我倒杯威士忌,遵旨
98,快给我倒杯威士忌啊,遵旨
99,快给我倒杯威士忌吧,遵旨
100,快给我倒杯威士忌呀,遵旨
101,给我倒杯威士忌！,遵旨
102,给我倒杯威士忌吧！,遵旨
103,给我倒杯威士忌啊！,遵旨
104,快给我倒杯威士忌！,遵旨
