,token_list
0,"[101, 3341, 702, 5312, 1366, 808, 102, 6905, 3192, 102]"
1,"[101, 5314, 2769, 948, 3344, 3717, 102, 6905, 3192, 102]"
2,"[101, 5314, 2769, 948, 3344, 3717, 3341, 102, 6905, 3192, 102]"
3,"[101, 2571, 5314, 2769, 948, 3344, 3717, 102, 6905, 3192, 102]"
4,"[101, 5314, 2769, 948, 3344, 3717, 3341, 8013, 102, 6905, 3192, 102]"
5,"[101, 2571, 5314, 2769, 948, 3344, 3717, 8013, 102, 6905, 3192, 102]"
6,"[101, 5314, 2769, 948, 3344, 3717, 8013, 102, 6905, 3192, 102]"
7,"[101, 5314, 2769, 948, 3344, 4178, 3717, 102, 6905, 3192, 102]"
8,"[101, 5314, 2769, 948, 3344, 4178, 3717, 8013, 102, 6905, 3192, 102]"
9,"[101, 5314, 2769, 948, 3344, 1107, 3717, 102, 6905, 3192, 102]"
10,"[101, 5314, 2769, 948, 3344, 1107, 3717, 8013, 102, 6905, 3192, 102]"
11,"[101, 5314, 2769, 948, 3344, 4635, 2458, 3717, 8013, 102, 6905, 3192, 102]"
12,"[101, 5314, 2769, 948, 3344, 4635, 2458, 3717, 102, 6905, 3192, 102]"
13,"[101, 5314, 2769, 948, 3344, 1117, 4635, 2458, 102, 6905, 3192, 102]"
14,"[101, 5314, 2769, 948, 3344, 1117, 4635, 2458, 8013, 102, 6905, 3192, 102]"
15,"[101, 2571, 5314, 2769, 948, 3344, 1117, 4635, 2458, 8013, 102, 6905, 3192, 102]"
16,"[101, 2571, 5314, 2769, 948, 3344, 4178, 3717, 8013, 102, 6905, 3192, 102]"
17,"[101, 2571, 5314, 2769, 948, 3344, 1107, 3717, 102, 6905, 3192, 102]"
18,"[101, 2571, 5314, 2769, 948, 3344, 1107, 3717, 8013, 102, 6905, 3192, 102]"
19,"[101, 5314, 2769, 948, 3344, 1102, 3717, 102, 6905, 3192, 102]"
20,"[101, 2571, 5314, 2769, 948, 3344, 1102, 3717, 8013, 102, 6905, 3192, 102]"
21,"[101, 5314, 2769, 948, 3344, 1102, 3717, 8013, 102, 6905, 3192, 102]"
22,"[101, 5314, 2769, 948, 3344, 1102, 3717, 1416, 102, 6905, 3192, 102]"
23,"[101, 5314, 2769, 948, 3344, 3717, 1416, 102, 6905, 3192, 102]"
24,"[101, 5314, 2769, 948, 3344, 3717, 3341, 1416, 8013, 102, 6905, 3192, 102]"
25,"[101, 5314, 2769, 948, 3344, 1102, 3717, 3341, 102, 6905, 3192, 102]"
26,"[101, 5314, 2769, 948, 3344, 4635, 2458, 3717, 1416, 102, 6905, 3192, 102]"
27,"[101, 5314, 2769, 948, 3344, 4635, 2458, 3717, 1416, 8013, 102, 6905, 3192, 102]"
28,"[101, 2571, 5314, 2769, 948, 3344, 4635, 2458, 3717, 1416, 8013, 102, 6905, 3192, 102]"
29,"[101, 2571, 5314, 2769, 948, 3344, 4178, 3717, 1416, 8013, 102, 6905, 3192, 102]"
30,"[101, 5314, 2769, 948, 3344, 3717, 1557, 102, 6905, 3192, 102]"
31,"[101, 5314, 2769, 948, 3344, 3717, 1557, 8013, 102, 6905, 3192, 102]"
32,"[101, 5314, 2769, 948, 3344, 1117, 4635, 2458, 1557, 102, 6905, 3192, 102]"
33,"[101, 5314, 2769, 948, 3344, 1117, 4635, 2458, 1557, 8013, 102, 6905, 3192, 102]"
34,"[101, 2571, 5314, 2769, 948, 3344, 4178, 3717, 1557, 8013, 102, 6905, 3192, 102]"
35,"[101, 2571, 5314, 2769, 948, 3344, 1107, 3717, 1557, 102, 6905, 3192, 102]"
36,"[101, 2571, 5314, 2769, 948, 3344, 1107, 3717, 1557, 8013, 102, 6905, 3192, 102]"
37,"[101, 2571, 5314, 2769, 948, 3344, 4178, 3717, 1557, 102, 6905, 3192, 102]"
38,"[101, 5314, 2769, 948, 3344, 1102, 3717, 1557, 8013, 102, 6905, 3192, 102]"
39,"[101, 2571, 5314, 2769, 948, 3344, 1102, 3717, 1557, 8013, 102, 6905, 3192, 102]"
40,"[101, 5314, 2769, 948, 3344, 3946, 3717, 102, 6905, 3192, 102]"
41,"[101, 2571, 5314, 2769, 948, 3344, 3946, 3717, 102, 6905, 3192, 102]"
42,"[101, 5314, 2769, 948, 3344, 3946, 3717, 1416, 102, 6905, 3192, 102]"
43,"[101, 5314, 2769, 948, 3344, 3946, 3717, 1557, 102, 6905, 3192, 102]"
44,"[101, 2571, 5314, 2769, 948, 3344, 3946, 3717, 1416, 102, 6905, 3192, 102]"
45,"[101, 2571, 5314, 2769, 948, 3344, 3946, 3717, 1557, 102, 6905, 3192, 102]"
46,"[101, 5314, 2769, 948, 3344, 3946, 3717, 8013, 102, 6905, 3192, 102]"
47,"[101, 2571, 5314, 2769, 948, 3344, 3946, 3717, 8013, 102, 6905, 3192, 102]"
48,"[101, 5314, 2769, 948, 3344, 3946, 3717, 1416, 8013, 102, 6905, 3192, 102]"
49,"[101, 5314, 2769, 948, 3344, 3946, 3717, 1557, 8013, 102, 6905, 3192, 102]"
50,"[101, 2571, 5314, 2769, 948, 3344, 3946, 3717, 1416, 8013, 102, 6905, 3192, 102]"
51,"[101, 2571, 5314, 2769, 948, 3344, 3946, 3717, 1557, 8013, 102, 6905, 3192, 102]"
52,"[101, 5314, 2769, 948, 3344, 1377, 727, 102, 6905, 3192, 102]"
53,"[101, 5314, 2769, 948, 3344, 1377, 727, 1416, 102, 6905, 3192, 102]"
54,"[101, 5314, 2769, 948, 3344, 1377, 727, 1557, 102, 6905, 3192, 102]"
55,"[101, 2571, 5314, 2769, 948, 3344, 1377, 727, 102, 6905, 3192, 102]"
56,"[101, 2571, 5314, 2769, 948, 3344, 1377, 727, 1557, 102, 6905, 3192, 102]"
57,"[101, 2571, 5314, 2769, 948, 3344, 1377, 727, 1416, 102, 6905, 3192, 102]"
58,"[101, 2571, 5314, 2769, 948, 3344, 1377, 727, 1435, 102, 6905, 3192, 102]"
59,"[101, 5314, 2769, 948, 3344, 1377, 727, 8013, 102, 6905, 3192, 102]"
60,"[101, 5314, 2769, 948, 3344, 1377, 727, 1416, 8013, 102, 6905, 3192, 102]"
